#{"t_start": 1583841439.0914595, "env_id": "multi-channel-DCA-v0"}
r,l,t,block_prob,timestamp
7788,15892,5898.665902,0.5785590277777778,2013-11-01 00:50:00
7904,15892,5973.030744,0.5762442129629629,2013-11-01 00:50:00
8716,15892,6041.778903,0.5432581018518519,2013-11-01 00:50:00
7356,15892,6114.231258,0.6306423611111112,2013-11-01 00:50:00
8764,15892,6183.850967,0.5441261574074074,2013-11-01 00:50:00
8846,15892,6257.127286,0.5535300925925926,2013-11-01 00:50:00
9044,15892,6328.28196,0.5830439814814815,2013-11-01 00:50:00
8156,15892,6400.669806,0.5279224537037037,2013-11-01 00:50:00
8514,15892,6470.735573,0.5078125,2013-11-01 00:50:00
6356,15892,6543.680259,0.5923032407407407,2013-11-01 00:50:00
7902,15892,6612.949292,0.5444155092592593,2013-11-01 00:50:00
8426,15892,6686.228199,0.5432581018518519,2013-11-01 00:50:00
8464,15892,6754.449253,0.5590277777777778,2013-11-01 00:50:00
7924,15892,6828.103676,0.5745081018518519,2013-11-01 00:50:00
8012,15892,6897.597801,0.5791377314814815,2013-11-01 00:50:00
7650,15892,6971.778471,0.6009837962962963,2013-11-01 00:50:00
8732,15892,7043.165406,0.5633680555555556,2013-11-01 00:50:00
7942,15892,7116.624974,0.5399305555555556,2013-11-01 00:50:00
8254,15892,7189.113138,0.5649594907407407,2013-11-01 00:50:00
9186,15892,7263.145011,0.5258969907407407,2013-11-01 00:50:00
9128,15892,7333.933927,0.5366030092592593,2013-11-01 00:50:00
9670,15892,7405.579953,0.5334201388888888,2013-11-01 00:50:00
9064,15892,7475.802376,0.5908564814814815,2013-11-01 00:50:00
9680,15892,7548.765695,0.5409432870370371,2013-11-01 00:50:00
9106,15892,7620.84197,0.5555555555555556,2013-11-01 00:50:00
9516,15892,7691.87838,0.5548321759259259,2013-11-01 00:50:00
9030,15892,7766.176098,0.5345775462962963,2013-11-01 00:50:00
8816,15892,7839.225457,0.5960648148148148,2013-11-01 00:50:00
7552,15892,7913.340756,0.5671296296296297,2013-11-01 00:50:00
7608,15892,7983.021357,0.5651041666666666,2013-11-01 00:50:00
8484,15892,8055.498318,0.5452835648148148,2013-11-01 00:50:00
7132,15892,8124.852108,0.5989583333333334,2013-11-01 00:50:00
8976,15892,8198.39971,0.5326967592592593,2013-11-01 00:50:00
7698,15892,8268.3806,0.5486111111111112,2013-11-01 00:50:00
8468,15892,8342.618984,0.5376157407407407,2013-11-01 00:50:00
9230,15892,8412.190166,0.5412326388888888,2013-11-01 00:50:00
9468,15892,8487.203488,0.5625,2013-11-01 00:50:00
