#{"t_start": 1578867103.6143973, "env_id": "multi-channel-DCA-v0"}
r,l,t,block_prob,timestamp
328,4320,10.239095,0.625724404378622,2013-11-01 00:40:00
-46,4320,21.459969,0.6558274307791372,2013-11-01 00:40:00
-2,4320,26.366822,0.6522858982614295,2013-11-01 00:40:00
160,4320,36.995646,0.6392466194462331,2013-11-01 00:40:00
134,4320,42.649686,0.6413393432066967,2013-11-01 00:40:00
22,4320,52.839071,0.6503541532517708,2013-11-01 00:40:00
324,4320,57.733644,0.6260463618802318,2013-11-01 00:40:00
160,4320,68.632433,0.6392466194462331,2013-11-01 00:40:00
24,4320,73.91134,0.6501931745009659,2013-11-01 00:40:00
28,4320,84.361872,0.6498712169993561,2013-11-01 00:40:00
148,4320,89.255306,0.6402124919510624,2013-11-01 00:40:00
-240,4320,99.991073,0.6714423696072118,2013-11-01 00:40:00
128,4320,104.870738,0.6418222794591114,2013-11-01 00:40:00
134,4320,115.180453,0.6413393432066967,2013-11-01 00:40:00
364,4320,120.252672,0.622826786864134,2013-11-01 00:40:00
10,4320,130.803164,0.6513200257566001,2013-11-01 00:40:00
98,4320,135.696733,0.6442369607211847,2013-11-01 00:40:00
-216,4320,145.92661,0.6695106245975532,2013-11-01 00:40:00
414,4320,156.286805,0.6188023180940115,2013-11-01 00:40:00
-138,4320,161.19602,0.6632324533161623,2013-11-01 00:40:00
-204,4320,171.711596,0.6685447520927238,2013-11-01 00:40:00
454,4320,176.659879,0.6155827430779137,2013-11-01 00:40:00
314,4320,187.418524,0.6268512556342563,2013-11-01 00:40:00
-62,4320,192.30127,0.6571152607855762,2013-11-01 00:40:00
226,4320,202.539926,0.6339343206696716,2013-11-01 00:40:00
300,4320,207.458343,0.6279781068898905,2013-11-01 00:40:00
70,4320,218.234802,0.6464906632324533,2013-11-01 00:40:00
208,4320,223.401375,0.6353831294269157,2013-11-01 00:40:00
352,4320,234.998375,0.6237926593689633,2013-11-01 00:40:00
112,4320,239.892215,0.6431101094655506,2013-11-01 00:40:00
30,4320,249.987619,0.6497102382485512,2013-11-01 00:40:00
86,4320,254.882958,0.6452028332260141,2013-11-01 00:40:00
206,4320,265.666731,0.6355441081777206,2013-11-01 00:40:00
-8,4320,270.818974,0.6527688345138442,2013-11-01 00:40:00
306,4320,281.052607,0.6274951706374758,2013-11-01 00:40:00
544,4320,285.932395,0.6083386992916935,2013-11-01 00:40:00
-40,4320,296.086207,0.6553444945267225,2013-11-01 00:40:00
50,4320,306.517034,0.6481004507405023,2013-11-01 00:40:00
118,4320,312.357577,0.6426271732131359,2013-11-01 00:40:00
214,4320,323.046732,0.634900193174501,2013-11-01 00:40:00
-124,4320,328.043312,0.662105602060528,2013-11-01 00:40:00
186,4320,338.6292,0.6371538956857695,2013-11-01 00:40:00
274,4320,343.932343,0.6300708306503542,2013-11-01 00:40:00
222,4320,354.767016,0.6342562781712814,2013-11-01 00:40:00
72,4320,359.789493,0.6463296844816484,2013-11-01 00:40:00
-282,4320,371.339256,0.6748229233741146,2013-11-01 00:40:00
-66,4320,376.232546,0.657437218287186,2013-11-01 00:40:00
122,4320,386.772974,0.6423052157115261,2013-11-01 00:40:00
-378,4320,391.661471,0.6825499034127496,2013-11-01 00:40:00
522,4320,402.400652,0.6101094655505473,2013-11-01 00:40:00
-148,4320,407.467733,0.6640373470701867,2013-11-01 00:40:00
0,4320,417.753666,0.6521249195106246,2013-11-01 00:40:00
-164,4320,422.634099,0.6653251770766259,2013-11-01 00:40:00
244,4320,432.987215,0.6324855119124275,2013-11-01 00:40:00
-88,4320,443.305806,0.6592079845460399,2013-11-01 00:40:00
94,4320,448.194533,0.6445589182227945,2013-11-01 00:40:00
212,4320,458.575006,0.6350611719253059,2013-11-01 00:40:00
96,4320,463.469225,0.6443979394719896,2013-11-01 00:40:00
62,4320,473.864542,0.6471345782356729,2013-11-01 00:40:00
146,4320,478.759709,0.6403734707018673,2013-11-01 00:40:00
296,4320,489.442138,0.6283000643915003,2013-11-01 00:40:00
2,4320,494.328409,0.6519639407598197,2013-11-01 00:40:00
-70,4320,504.492706,0.6577591757887958,2013-11-01 00:40:00
34,4320,509.650455,0.6493882807469414,2013-11-01 00:40:00
250,4320,520.459083,0.6320025756600128,2013-11-01 00:40:00
-10,4320,525.359622,0.652929813264649,2013-11-01 00:40:00
290,4320,535.69828,0.628783000643915,2013-11-01 00:40:00
94,4320,540.600772,0.6445589182227945,2013-11-01 00:40:00
-130,4320,551.383154,0.6625885383129427,2013-11-01 00:40:00
438,4320,556.549668,0.6168705730843529,2013-11-01 00:40:00
214,4320,567.42232,0.634900193174501,2013-11-01 00:40:00
58,4320,572.32809,0.6474565357372827,2013-11-01 00:40:00
-230,4320,583.183249,0.6706374758531873,2013-11-01 00:40:00
188,4320,593.572926,0.6369929169349646,2013-11-01 00:40:00
514,4320,598.990139,0.6107533805537669,2013-11-01 00:40:00
256,4320,609.859403,0.6315196394075981,2013-11-01 00:40:00
206,4320,614.986904,0.6355441081777206,2013-11-01 00:40:00
-6,4320,625.356355,0.6526078557630393,2013-11-01 00:40:00
-8,4320,630.310503,0.6527688345138442,2013-11-01 00:40:00
172,4320,641.290171,0.6382807469414037,2013-11-01 00:40:00
190,4320,646.449152,0.6368319381841597,2013-11-01 00:40:00
128,4320,657.01274,0.6418222794591114,2013-11-01 00:40:00
84,4320,661.923079,0.645363811976819,2013-11-01 00:40:00
266,4320,672.303039,0.6307147456535738,2013-11-01 00:40:00
134,4320,677.197974,0.6413393432066967,2013-11-01 00:40:00
476,4320,687.950571,0.6138119768190599,2013-11-01 00:40:00
-40,4320,693.104146,0.6553444945267225,2013-11-01 00:40:00
348,4320,703.68905,0.6241146168705731,2013-11-01 00:40:00
-94,4320,708.586195,0.6596909207984546,2013-11-01 00:40:00
-364,4320,719.326293,0.6814230521571153,2013-11-01 00:40:00
-76,4320,724.227511,0.6582421120412105,2013-11-01 00:40:00
210,4320,735.344172,0.6352221506761108,2013-11-01 00:40:00
-110,4320,746.211941,0.6609787508048938,2013-11-01 00:40:00
82,4320,751.790136,0.6455247907276239,2013-11-01 00:40:00
166,4320,762.807258,0.6387636831938184,2013-11-01 00:40:00
152,4320,767.769338,0.6398905344494527,2013-11-01 00:40:00
-160,4320,778.179249,0.6650032195750161,2013-11-01 00:40:00
308,4320,783.322965,0.6273341918866709,2013-11-01 00:40:00
206,4320,793.917988,0.6355441081777206,2013-11-01 00:40:00
-102,4320,798.805007,0.6603348358016742,2013-11-01 00:40:00
-284,4320,809.738438,0.6749839021249195,2013-11-01 00:40:00
